trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.5, 'e': 0.8309999999999998}",20,9,-2.4526694901294617,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.8259999999999998}",25,6,-48.55750883344495,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.8209999999999998}",30,0,-46.050145497981454,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.8159999999999998}",20,0,-37.26264843686639,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.8109999999999998}",25,0,-198.26225665064356,"{0: 13, 1: 7, 2: 0, 3: 1, 4: 4}",0
118,False,"{'a': 0.5, 'e': 0.8059999999999998}",20,5,-18.800942322361475,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.8009999999999998}",30,12,-47.046183763669184,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.7959999999999998}",30,0,-106.93365835259875,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.7909999999999998}",25,0,-134.01301454767537,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.7859999999999998}",25,0,-67.47412423152399,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.7809999999999998}",25,15,-17.66223209039154,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
